35,73236
36,52397
37,175958
38,72479
39,23280
40,30004
41,10703
42,4658
43,14438
44,46973
47,70791
48,33215
49,198534
50,197643
51,44103
52,1276
54,78315
55,57374
56,10670
57,3261
59,7723
60,74989
61,131501
62,84449
63,49396
64,2010
69,8892
70,16753
71,50730
72,330725
73,547804
74,1190285
75,675457
76,40697
77,10808
78,10174
79,2461
82,13647
83,41922
84,619024
85,215220
86,216814
87,66106
88,4801
89,1713
90,260093
91,253033
92,78974
93,9161
94,26975
95,20815
96,62331
97,67682
98,22053
99,18782
100,795
106,30540
107,80890
108,211342
109,1412221
110,313521
111,465604
112,80408
113,4588
118,42616
119,76011
120,66635
121,51555
122,29704
123,8593
124,3634
130,4489
131,32026
132,6018
133,37817
134,2532
135,10985
141,9422
142,4430
143,52404
144,210604
145,2090222
146,279069
147,1343254
148,112428
149,216286
150,15030
153,666
154,14271
155,1130
156,12370
158,3774
165,216
179,11959
180,7234340
181,498546
182,6920771
183,462953
184,2224206
185,146322
186,240666
187,15428
191,7158
207,73032
208,15349
209,9654
281,10036
